Category,Category2,title,startday,startmonth,startyear,endday,endmonth,endyear,date,employer,department,college,event,city,state,country,description,link
extension,Podcast,Episode 22: Wildflower Garden,,,,,,,,,,,The Jule Podcast,Auburn,AL,USA,,https://podcasts.apple.com/us/podcast/episode-22-wildflower-garden/id1605196302?i=1000633234925
extension,Article,Alabama Wildflower of the Month: Woodland sunflower (\textit{Helianthus divaricatus}),1,January,2023,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,
extension,Article,Alabama Bee of the Month: Overwintering bees and seed survival,1,January,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,
extension,Article,Alabama Wildflower of the Month: Eastern redbud (\textit{Cercis canadensis}),1,March,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,
extension,Article,Alabama Bee of the Month: Unequal cellophane bee (\textit{Colletes inaequalis}),1,March,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,
extension,Article,Alabama Wildflower of the Month: Mountain azalea (\textit{Rhododendron canescens}),1,April,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,
extension,Article,Alabama Bee of the Month: Southeastern blueberry bee (\textit{Habropoda laboriosa}),1,April,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,
extension,Article,Alabama Wildflower of the Month: Firewheel (\textit{Gaillardia pulchella}),1,May,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,https://us4.campaign-archive.com/?u=ddbd7a2a13e49ec27e8963cf8&id=4526f4a87c
extension,Article,Alabama Bee of the Month: Perplexed mining bee (\textit{Andrena perplexa}),1,May,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,https://us4.campaign-archive.com/?u=ddbd7a2a13e49ec27e8963cf8&id=4526f4a87c
extension,Article,Alabama Wildflower of the Month: Northern spider lily (\textit{Hymenocallis occidentalis}),1,July,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,https://us4.campaign-archive.com/?u=ddbd7a2a13e49ec27e8963cf8&id=885dfa435e
extension,Article,Alabama Bee of the Month: Nimble squash bee (\textit{Xenoglossa strenua}),1,July,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,https://us4.campaign-archive.com/?u=ddbd7a2a13e49ec27e8963cf8&id=885dfa435e
extension,Article,Alabama Wildflower of the Month: Stiff goldenrod (\textit{Oligoneuron rigidum}),1,August,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,https://us4.campaign-archive.com/?u=ddbd7a2a13e49ec27e8963cf8&id=3f9bbc9221
extension,Article,Alabama Wildflower of the Month: Common Sneezeweed (\textit{Helenium autumnale}),1,September,2022,,,,,,,,ACES Newsletter,Auburn University,AL,USA,,https://us4.campaign-archive.com/?u=ddbd7a2a13e49ec27e8963cf8&id=b67be8272f
extension,Talk,"Native bee importance, conservation, and monitoring",2,November,2022,,,,,,,,"The Autauga Forestry and Wildlife Stewardship Council,  2020 Fall Landowner Tour",Billingsley,AL,USA,,
extension,Table,Town Creek City Market,4,June,2022,,,,,,,,Town Creek Park,Auburn,AL,USA,,
extension,Tour,Moore-Pate Visit to the Bee Lab,5,August,2022,,,,,,,,AU Bee Lab,Auburn University,AL,USA,,
extension,Table,Sustainability Picnic,1,September,2022,,,,,,,,Arbotretum,Auburn University,AL,USA,,
extension,Tour,Horticulture Club Bee Lab Tour,19,September,2022,,,,,,,,AU Bee Lab,Auburn University,AL,USA,,
extension,Table,Pollinator Power,15,April,2023,,,,,,,,University Ace Hardware,Auburn,AL,USA,,
extension,Table,Sustainability Picnic,23,July,2023,,,,,,,,Arbotretum,Auburn University,AL,USA,,
extension,Table,Bama Buzz,13,October,2023,,,,,,,,AU Bee Lab,Auburn University,AL,USA,,
extension,Table,Beyond the Farm,20,March,2024,,,,,,,,Campus Greenspace,Auburn University,AL,USA,,
extension,Talk,Native Bees of Alabama,15,January,2025,,,,,,,,Bluestocking Ladies Learning Club,Opelika,AL,USA,,
extension,Table,Multicultural Fair,20,February,2025,,,,,,,,Auburn Junior Highschool,Auburn,AL,USA,,
